label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
# Recording started!
clap,-31.430052,11.249182,3.445266,2.556970,1.519052,1.435088,0.936904,0.543550,0.689842,0.492957,0.610411,0.045946,-0.291285
clap,-87.697945,5.610606,2.605180,2.765726,2.548026,1.697276,1.552287,1.958648,1.424962,0.555061,1.326211,1.555278,1.220982
clap,-66.889175,4.092472,2.423407,3.948071,2.734839,4.602280,3.818326,0.742117,-0.457102,1.038312,1.584480,-0.504051,0.590778
clap,-9.957469,9.259885,3.566417,0.409706,-0.391770,2.609075,-0.714930,1.109522,0.309300,-0.671810,1.673675,0.139181,-0.128306
clap,-83.606667,7.178399,3.728001,2.746421,2.425198,3.011464,2.201669,1.692281,1.582549,1.127416,1.180103,0.670008,0.820518
clap,-58.852924,9.188513,2.152328,1.056646,0.273093,1.947587,2.278525,2.958349,1.255203,0.061665,2.452401,0.387733,0.069332
clap,-14.768292,7.809535,3.124637,2.438932,-0.447040,1.810741,2.251491,-0.906021,0.087224,-0.448480,-0.842608,0.805251,0.006268
clap,-81.105194,6.110582,1.186786,1.807955,1.912394,5.176045,3.140233,0.516521,0.962271,1.185117,2.008843,1.448654,0.174368
clap,-63.030361,8.302561,4.876256,3.413666,3.975027,4.609710,2.097839,0.483468,0.269487,0.411937,0.357522,-0.189970,0.106597
clap,-77.497704,11.418145,6.338714,5.018382,4.050022,2.036626,0.393514,0.591103,1.415558,0.867618,-0.036342,-0.173713,0.458448
clap,-79.798424,7.219979,3.656345,3.472082,3.800591,4.638627,2.538980,0.374541,0.452001,0.763993,1.960229,0.699229,0.226078
clap,-50.560650,5.643302,1.047612,1.256451,2.504195,3.184696,1.846521,1.209029,0.415614,0.715179,1.755368,1.364382,0.087027
clap,-32.336964,9.326655,3.201045,3.832200,-0.589017,0.866750,0.913403,-1.037565,0.408858,1.051339,0.653829,-0.069480,-0.683496
clap,-81.959610,5.943167,2.131434,1.947450,2.943084,3.675705,2.782927,1.718835,0.812339,1.873016,1.393049,1.166598,1.324441
clap,-53.517567,9.274740,2.925260,2.887015,3.521399,2.741986,1.701280,0.245196,-0.714688,0.072083,0.990168,-0.067860,0.455949
clap,-73.830505,8.171386,3.218180,2.636801,3.057079,1.724708,0.736771,0.430255,1.870845,1.921941,0.643970,1.192126,0.211448
# DONE
# DONE
# DONE
# DONE
# DONE
